,season,team,number,name
0,2019,MIL,9,Wesley Matthews
1,2019,MIL,11,Brook Lopez
2,2019,MIL,24,Pat Connaughton
3,2019,MIL,42,Robin Lopez
4,2019,MIL,0,Donte DiVincenzo
5,2019,MIL,34,Giannis Antetokounmpo
6,2019,MIL,6,Eric Bledsoe
7,2019,MIL,7,Ersan İlyasova
8,2019,MIL,22,Khris Middleton
9,2019,MIL,3,George Hill
10,2019,MIL,26,Kyle Korver
11,2019,MIL,23,Sterling Brown
12,2019,MIL,5,D.J. Wilson
13,2019,MIL,43,Thanasis Antetokounmpo
14,2019,MIL,20,Marvin Williams
15,2019,MIL,15,Frank Mason III  (TW)
16,2019,MIL,,Cameron Reynolds  (TW)
17,2019,TOR,0,Terence Davis
18,2019,TOR,3,OG Anunoby
19,2019,TOR,25,Chris Boucher
20,2019,TOR,43,Pascal Siakam
21,2019,TOR,7,Kyle Lowry
22,2019,TOR,4,Rondae Hollis-Jefferson
23,2019,TOR,9,Serge Ibaka
24,2019,TOR,23,Fred VanVleet
25,2019,TOR,24,Norman Powell
26,2019,TOR,22,Patrick McCaw
27,2019,TOR,33,Marc Gasol
28,2019,TOR,21,Matt Thomas
29,2019,TOR,13,Malcolm Miller
30,2019,TOR,5,Stanley Johnson
31,2019,TOR,12,Oshae Brissett  (TW)
32,2019,TOR,20,Dewan Hernandez
33,2019,TOR,1,Paul Watson  (TW)
34,2019,BOS,9,Brad Wanamaker
35,2019,BOS,12,Grant Williams
36,2019,BOS,37,Semi Ojeleye
37,2019,BOS,0,Jayson Tatum
38,2019,BOS,27,Daniel Theis
39,2019,BOS,36,Marcus Smart
40,2019,BOS,11,Enes Kanter
41,2019,BOS,8,Kemba Walker
42,2019,BOS,7,Jaylen Brown
43,2019,BOS,20,Gordon Hayward
44,2019,BOS,43,Javonte Green
45,2019,BOS,4,Carsen Edwards
46,2019,BOS,45,Romeo Langford
47,2019,BOS,44,Robert Williams
48,2019,BOS,77,Vincent Poirier
49,2019,BOS,51,Tremont Waters  (TW)
50,2019,BOS,99,Tacko Fall  (TW)
51,2019,MIA,13,Bam Adebayo
52,2019,MIA,55,Duncan Robinson
53,2019,MIA,25,Kendrick Nunn
54,2019,MIA,9,Kelly Olynyk
55,2019,MIA,22,Jimmy Butler
56,2019,MIA,7,Goran Dragić
57,2019,MIA,5,Derrick Jones Jr.
58,2019,MIA,0,Meyers Leonard
59,2019,MIA,14,Tyler Herro
60,2019,MIA,30,Chris Silva
61,2019,MIA,28,Andre Iguodala
62,2019,MIA,99,Jae Crowder
63,2019,MIA,44,Solomon Hill
64,2019,MIA,2,Gabe Vincent  (TW)
65,2019,MIA,4,KZ Okpala
66,2019,MIA,40,Udonis Haslem
67,2019,MIA,,Kyle Alexander  (TW)
68,2019,IND,8,Justin Holiday
69,2019,IND,9,T.J. McConnell
70,2019,IND,11,Domantas Sabonis
71,2019,IND,20,Doug McDermott
72,2019,IND,1,T.J. Warren
73,2019,IND,3,Aaron Holiday
74,2019,IND,33,Myles Turner
75,2019,IND,88,Goga Bitadze
76,2019,IND,7,Malcolm Brogdon
77,2019,IND,26,Jeremy Lamb
78,2019,IND,14,JaKarr Sampson
79,2019,IND,5,Edmond Sumner
80,2019,IND,22,T.J. Leaf
81,2019,IND,4,Victor Oladipo
82,2019,IND,24,Alize Johnson
83,2019,IND,10,Brian Bowen  (TW)
84,2019,IND,15,Naz Mitrou-Long  (TW)
85,2019,PHI,12,Tobias Harris
86,2019,PHI,30,Furkan Korkmaz
87,2019,PHI,1,Mike Scott
88,2019,PHI,42,Al Horford
89,2019,PHI,22,Matisse Thybulle
90,2019,PHI,25,Ben Simmons
91,2019,PHI,19,Raul Neto
92,2019,PHI,0,Josh Richardson
93,2019,PHI,21,Joel Embiid
94,2019,PHI,18,Shake Milton
95,2019,PHI,9,Kyle O'Quinn
96,2019,PHI,14,Norvel Pelle
97,2019,PHI,40,Glenn Robinson III
98,2019,PHI,20,Alec Burks
99,2019,PHI,5,Zhaire Smith
100,2019,PHI,35,Marial Shayok  (TW)
101,2019,BRK,8-26,Spencer Dinwiddie
102,2019,BRK,2,Taurean Prince
103,2019,BRK,31,Jarrett Allen
104,2019,BRK,12,Joe Harris
105,2019,BRK,6,DeAndre Jordan
106,2019,BRK,17,Garrett Temple
107,2019,BRK,22,Caris LeVert
108,2019,BRK,9,Timothé Luwawu-Cabarrot
109,2019,BRK,00,Rodions Kurucs
110,2019,BRK,21,Wilson Chandler
111,2019,BRK,13,Džanan Musa
112,2019,BRK,1,Theo Pinson
113,2019,BRK,11,Kyrie Irving
114,2019,BRK,33,Nicolas Claxton
115,2019,BRK,4,Chris Chiozza  (TW)
116,2019,BRK,0,Jeremiah Martin  (TW)
117,2019,BRK,,Kevin Durant
118,2019,ORL,20,Markelle Fultz
119,2019,ORL,8-31,Terrence Ross
120,2019,ORL,10,Evan Fournier
121,2019,ORL,5,Mo Bamba
122,2019,ORL,00,Aaron Gordon
123,2019,ORL,9,Nikola Vučević
124,2019,ORL,14,D.J. Augustin
125,2019,ORL,25,Wesley Iwundu
126,2019,ORL,7,Michael Carter-Williams
127,2019,ORL,24,Khem Birch
128,2019,ORL,1,Jonathan Isaac
129,2019,ORL,2,Al-Farouq Aminu
130,2019,ORL,12,Gary Clark
131,2019,ORL,35,Melvin Frazier
132,2019,ORL,11,James Ennis
133,2019,ORL,13,B.J. Johnson  (TW)
134,2019,ORL,23,Vic Law  (TW)
135,2019,WAS,6,Troy Brown Jr.
136,2019,WAS,14,Ish Smith
137,2019,WAS,17,Isaac Bonga
138,2019,WAS,3,Bradley Beal
139,2019,WAS,42,Dāvis Bertāns
140,2019,WAS,8,Rui Hachimura
141,2019,WAS,13,Thomas Bryant
142,2019,WAS,28,Ian Mahinmi
143,2019,WAS,21,Moritz Wagner
144,2019,WAS,20,Gary Payton II
145,2019,WAS,1,Admiral Schofield
146,2019,WAS,18,Anžejs Pasečņiks
147,2019,WAS,24,Garrison Mathews  (TW)
148,2019,WAS,5,Shabazz Napier
149,2019,WAS,12,Jerome Robinson
150,2019,WAS,19,Johnathan Williams  (TW)
151,2019,WAS,,John Wall
152,2019,CHO,0,Miles Bridges
153,2019,CHO,4,Devonte' Graham
154,2019,CHO,3,Terry Rozier
155,2019,CHO,25,P.J. Washington
156,2019,CHO,40,Cody Zeller
157,2019,CHO,1,Malik Monk
158,2019,CHO,8,Bismack Biyombo
159,2019,CHO,11,Cody Martin
160,2019,CHO,7,Dwayne Bacon
161,2019,CHO,9,Willy Hernangómez
162,2019,CHO,5,Nicolas Batum
163,2019,CHO,10,Caleb Martin
164,2019,CHO,6,Jalen McDaniels
165,2019,CHO,31,Joe Chealey
166,2019,CHO,,Kobi Simmons  (TW)
167,2019,CHO,,Ray Spalding  (TW)
168,2019,CHI,0,Coby White
169,2019,CHI,31,Tomáš Satoranský
170,2019,CHI,21,Thaddeus Young
171,2019,CHI,8,Zach LaVine
172,2019,CHI,51,Ryan Arcidiacono
173,2019,CHI,32,Kris Dunn
174,2019,CHI,24,Lauri Markkanen
175,2019,CHI,34,Wendell Carter Jr.
176,2019,CHI,12,Daniel Gafford
177,2019,CHI,3,Shaquille Harrison
178,2019,CHI,45,Denzel Valentine
179,2019,CHI,2,Luke Kornet
180,2019,CHI,15,Chandler Hutchison
181,2019,CHI,6,Cristiano Felício
182,2019,CHI,22,Otto Porter
183,2019,CHI,20,Adam Mokoka  (TW)
184,2019,CHI,28,Max Strus  (TW)
185,2019,NYK,1,Bobby Portis
186,2019,NYK,20,Kevin Knox
187,2019,NYK,30,Julius Randle
188,2019,NYK,67,Taj Gibson
189,2019,NYK,23,Mitchell Robinson
190,2019,NYK,11,Frank Ntilikina
191,2019,NYK,9,RJ Barrett
192,2019,NYK,21,Damyean Dotson
193,2019,NYK,6,Elfrid Payton
194,2019,NYK,2,Wayne Ellington
195,2019,NYK,5,Dennis Smith Jr.
196,2019,NYK,25,Reggie Bullock
197,2019,NYK,14,Allonzo Trier
198,2019,NYK,3,Maurice Harkless
199,2019,NYK,0,Kadeem Allen  (TW)
200,2019,NYK,17,Ignas Brazdeikis
201,2019,NYK,,Kenny Wooten  (TW)
202,2019,DET,9,Langston Galloway
203,2019,DET,35,Christian Wood
204,2019,DET,7,Thon Maker
205,2019,DET,17,Tony Snell
206,2019,DET,6,Bruce Brown
207,2019,DET,19,Sviatoslav Mykhailiuk
208,2019,DET,25,Derrick Rose
209,2019,DET,45,Sekou Doumbouya
210,2019,DET,5,Luke Kennard
211,2019,DET,23,Blake Griffin
212,2019,DET,31,John Henson
213,2019,DET,14,Louis King  (TW)
214,2019,DET,18,Jordan Bone  (TW)
215,2019,DET,20,Brandon Knight
216,2019,DET,13,Khyri Thomas
217,2019,DET,52,Jordan McRae
218,2019,ATL,12,De'Andre Hunter
219,2019,ATL,11,Trae Young
220,2019,ATL,15,Vince Carter
221,2019,ATL,22,Cam Reddish
222,2019,ATL,3,Kevin Huerter
223,2019,ATL,24,Bruno Fernando
224,2019,ATL,30,Damian Jones
225,2019,ATL,95,DeAndre' Bembry
226,2019,ATL,20,John Collins
227,2019,ATL,0,Brandon Goodwin
228,2019,ATL,00,Jeff Teague
229,2019,ATL,2,Treveon Graham
230,2019,ATL,14,Dewayne Dedmon
231,2019,ATL,4,Charlie Brown  (TW)
232,2019,ATL,,Clint Capela
233,2019,ATL,,Skal Labissière
234,2019,CLE,2,Collin Sexton
235,2019,CLE,16,Cedi Osman
236,2019,CLE,10,Darius Garland
237,2019,CLE,13,Tristan Thompson
238,2019,CLE,18,Matthew Dellavedova
239,2019,CLE,0,Kevin Love
240,2019,CLE,22,Larry Nance Jr.
241,2019,CLE,4,Kevin Porter Jr.
242,2019,CLE,28,Alfonzo McKinnie
243,2019,CLE,1,Dante Exum
244,2019,CLE,41,Ante Žižić
245,2019,CLE,32,Dean Wade  (TW)
246,2019,CLE,3,Andre Drummond
247,2019,CLE,31,Matt Mooney  (TW)
248,2019,CLE,,Sir'Dominic Pointer
249,2019,CLE,,Sheldon Mac
250,2019,CLE,,Dylan Windler
251,2019,LAL,1,Kentavious Caldwell-Pope
252,2019,LAL,39,Dwight Howard
253,2019,LAL,14,Danny Green
254,2019,LAL,7,JaVale McGee
255,2019,LAL,23,LeBron James
256,2019,LAL,4,Alex Caruso
257,2019,LAL,3,Anthony Davis
258,2019,LAL,0,Kyle Kuzma
259,2019,LAL,11,Avery Bradley
260,2019,LAL,9,Rajon Rondo
261,2019,LAL,10,Jared Dudley
262,2019,LAL,2-28,Quinn Cook
263,2019,LAL,88,Markieff Morris
264,2019,LAL,37,Kostas Antetokounmpo  (TW)
265,2019,LAL,5,Talen Horton-Tucker
